instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
GBPUSD,struct_range_pos,1M,499,0.0362,0.48424,0.8853,False,0.0337,0.0278,0.0931,-0.00029,B = Promising but insufficient evidence
NAS100,struct_range_pos,1M,499,-0.0183,0.71962,0.96665,False,0.0023,0.0038,-0.0927,-0.00027,B = Promising but insufficient evidence
EURUSD,mom_ret_5,30M,499,0.0679,0.20952,0.76189,False,0.074,0.0242,0.0914,-0.00027,B = Promising but insufficient evidence
GBPUSD,activity_vol_burst,30M,499,-0.0001,0.99898,0.99898,False,0.0363,-0.0714,-0.0913,-0.00027,B = Promising but insufficient evidence
GBPUSD,mom_accel,1H,499,0.0871,0.11931,0.75192,False,0.1697,-0.0346,-0.0903,-0.00026,B = Promising but insufficient evidence
XAUUSD,vol_atr_14,30M,499,-0.1131,0.05382,0.58713,False,-0.1482,0.0749,-0.0891,-0.00018,B = Promising but insufficient evidence
GBPUSD,vol_realized,30M,499,0.0129,0.79931,0.99066,False,0.0611,-0.1135,-0.0887,-0.00027,B = Promising but insufficient evidence
GBPUSD,mom_ret_15,5M,499,-0.0472,0.36784,0.84513,False,-0.0677,0.0095,-0.0884,-0.00029,B = Promising but insufficient evidence
NAS100,vol_realized,1M,499,0.0243,0.63404,0.93762,False,0.0017,0.0565,0.0883,-0.00028,B = Promising but insufficient evidence
NAS100,struct_dist_high,4H,499,0.1082,0.06262,0.60093,False,0.1213,0.12,0.0875,6e-05,A = Robust predictive edge
GBPUSD,struct_range_pos,30M,499,0.0222,0.66405,0.94118,False,0.0212,-0.0414,0.0874,-0.00027,B = Promising but insufficient evidence
XAUUSD,mom_ret_5,4H,499,0.0097,0.84772,0.99174,False,-0.039,0.1587,0.0873,7e-05,A = Robust predictive edge
GBPUSD,mom_accel,5M,499,0.04,0.44082,0.86525,False,0.1246,-0.0426,-0.0864,-0.00029,B = Promising but insufficient evidence
GBPUSD,mom_ret_15,15M,499,-0.0205,0.68755,0.95665,False,-0.0459,0.0025,0.0855,-0.00028,B = Promising but insufficient evidence
GBPUSD,trend_ma_slope,30M,499,-0.0126,0.80357,0.99066,False,-0.0264,-0.0853,0.085,-0.00027,B = Promising but insufficient evidence
GBPUSD,mom_ret_15,1M,499,-0.0151,0.76566,0.98229,False,-0.0416,0.055,0.0849,-0.00029,B = Promising but insufficient evidence
